Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Are grave goods present:,4814,1,1,1,1.03,1.03,,,,,
Are grave goods present:,4814,1,2,1.18,1.03,1.03,1.18,,,,
Are grave goods present:,4814,1,3,1.21,1.22,1.05,1.21,1.22,,,
Are grave goods present:,4814,1,4,1.58,1.22,1.07,1.26,1.88,1.95,,
Are grave goods present:,4814,1,5,1.64,1.23,1.07,1.26,1.98,2.03,1.08,
Are grave goods present:,4814,1,6,1.64,1.23,1.12,1.57,2.03,2.12,1.08,1.39
Are grave goods present:,4814,2,1,1.02,1.06,1.06,,,,,
Are grave goods present:,4814,2,2,1.26,1.07,1.07,1.23,,,,
Are grave goods present:,4814,2,3,1.53,2.95,1.1,1.34,3.06,,,
Are grave goods present:,4814,2,4,1.94,3.26,1.12,1.38,3.91,2.97,,
Are grave goods present:,4814,2,5,1.94,3.26,1.13,1.38,3.97,2.98,1.04,
Are grave goods present:,4814,2,6,1.94,3.26,1.24,1.93,3.97,2.99,1.05,1.63
Are grave goods present:,4814,3,1,1.06,3.91,3.8,,,,,
Are grave goods present:,4814,3,2,1.44,4.5,4.23,1.33,,,,
Are grave goods present:,4814,3,3,1.48,5.34,4.88,1.26,1.26,,,
Are grave goods present:,4814,3,4,-,-,-,-,-,-,,
Are grave goods present:,4814,3,5,-,-,-,-,-,-,-,
Are grave goods present:,4814,3,6,-,-,-,-,-,-,-,-
Are grave goods present:,4814,4,1,1.03,2.58,2.57,,,,,
Are grave goods present:,4814,4,2,1.6,2.99,2.83,1.59,,,,
Are grave goods present:,4814,4,3,1.55,3.37,3.17,1.64,1.21,,,
Are grave goods present:,4814,4,4,1.83,3.59,3.26,1.37,1.22,1.54,,
Are grave goods present:,4814,4,5,2.04,3.45,3.2,1.33,1.25,1.82,1.28,
Are grave goods present:,4814,4,6,2.13,3.61,3.4,1.55,1.75,1.9,1.28,1.6
