Variable,Sample,(Intercept),PC1,PC2,PC3,dist_coastline,dist_freshwater,AIC
High Gods,1,0.68 (***),-0.01,0.03,-0.01,-0.03,-0.09 (***),564.02
High Gods,2,0.72 (***),-0.03,0,0,-0.05,-0.07,259.18
High Gods,3,0.54 (***),-0.02,0.02,-0.01,0.02,-0.06,166.86
High Gods,4,0.55 (***),-0.02,0.03,-0.01,0.01,-0.06,176.21
Good Weather/Healthy Crops,1,0.62 (***),0,-0.02,0.03,0.03,0.04,330.96
Good Weather/Healthy Crops,2,0.66 (***),-0.05,-0.01,0.02,0.14 (*),-0.06,159.22
Good Weather/Healthy Crops,3,0.74 (***),0.02,-0.06,0.04,-0.08,-0.03,76.28
Good Weather/Healthy Crops,4,0.77 (***),0.03,-0.04,0.04,-0.09,-0.03,79.44
Bad Weather/Crop Failure,1,0.62 (***),0.02,-0.03,-0.02,0.05,-0.06,293.45
Bad Weather/Crop Failure,2,0.75 (***),-0.03,-0.03,0.03,0.08,0,151.38
Bad Weather/Crop Failure,3,0.25,-0.07,0.1,-0.16,0.15,-0.15,44.34
Bad Weather/Crop Failure,4,0.16,0.08,0.27,0.09,0.06,-0.09,51.69
Fishing,1,0.51 (***),-0.04 (*),-0.04 (*),-0.04,0.02,0.07 (*),415.16
Fishing,2,0.63 (***),0.05,0,-0.15 (*),-0.04,0.76,162.08
Fishing,3,0.7 (***),-0.04,-0.04,-0.07,-0.06,0.01,157.59
Fishing,4,0.68 (***),-0.05,-0.05,-0.07,-0.05,0.02,163.14
Previously Human Spirits,1,0.75 (***),-0.02,-0.03 (*),0.02,0.03,0.04,435.89
Previously Human Spirits,2,0.57 (***),-0.04,-0.03,0.05,-0.01,-0.45 (**),223.64
Previously Human Spirits,3,0.96 (***),-0.01,-0.01,-0.02,0,0,1.87
Previously Human Spirits,4,0.93 (***),-0.03,-0.02,-0.04,0.02,0.01,44.2
Non-human Supernatural Beings,1,0.86 (***),0,-0.01,0.01,0.01,0,318.52
Non-human Supernatural Beings,2,0.85 (***),-0.01,0,0.05,-0.04,-0.1,146.51
Non-human Supernatural Beings,3,0.95 (***),0.02,-0.02,0.02,0,-0.02,43.74
Non-human Supernatural Beings,4,0.92 (***),0.01,-0.03,0.03,0.02,-0.01,65.22
Mixed Human-divine Beings,1,0.47 (***),0.03,-0.04,0.01,-0.02,0.07 (*),350.76
Mixed Human-divine Beings,2,0.45 (***),0,-0.05,0,0.04,-0.11,205.86
Mixed Human-divine Beings,3,0.7 (***),0.02,0,-0.01,-0.06,0.03,78.22
Mixed Human-divine Beings,4,0.67 (***),0.02,0,-0.05,0,0.04,84.17
